,INSEE_COM,NOM_COMMUNE,Nb_Permis,Part_Permis_annules,Part_Demandeurs_MEME_COMMUN,Part_Demandeurs_MEME_EPCI,Part_Demandeurs_MEME_DEP,Part_Demandeurs_BRETAGNE,Part_Demandeurs_Ouest,Part_Demandeurs_LOINTAINS,Nouveaux_Logements,Resid_secondaire,Surface_terrains,Surface_Logements,Surface_Locaux,Surface_hotels,Surface_bureaux,Surface_commerces,Surface_artisanat,Surface_industrie,Surface_bat_agricoles,Surface_entrepots,Surface_services_publics
143,29156,Pencran,45,0.0,11.0,56.0,93.0,93.0,96.0,4.0,44,0,26739.0,4621.0,129.0,0,129,0,0,0,0,0,0
144,29158,Penmarch,54,0.0,24.0,44.0,59.0,70.0,72.0,28.0,59,12,119676.0,6687.0,1013.0,0,0,0,534,0,0,479,0
145,29159,Peumerit,1,0.0,0.0,0.0,100.0,100.0,100.0,0.0,1,0,1740.0,98.0,0.0,0,0,0,0,0,0,0,0
146,29161,Pleuven,24,0.0,0.0,46.0,100.0,100.0,100.0,0.0,34,1,61369.0,4165.0,3449.0,0,0,1346,275,0,381,597,525
147,29165,Plobannalec-Lesconil,61,0.0,20.0,62.0,72.0,79.0,80.0,20.0,124,7,106249.0,15516.0,863.0,114,21,0,301,0,240,187,0
148,29166,Ploéven,8,0.0,50.0,62.0,88.0,88.0,100.0,0.0,7,0,284973.0,763.0,188.0,0,0,0,0,0,188,0,0
149,29168,Plogoff,1,0.0,100.0,100.0,100.0,100.0,100.0,0.0,1,1,1199.0,144.0,0.0,0,0,0,0,0,0,0,0
150,29171,Plomeur,19,0.0,26.0,63.0,74.0,84.0,84.0,16.0,11,3,39588.0,1432.0,5270.0,0,13,797,0,0,0,4460,0
151,29172,Plomodiern,13,0.0,31.0,31.0,77.0,85.0,85.0,15.0,18,1,32256.0,1905.0,0.0,0,0,0,0,0,0,0,0
152,29174,Plonéour-Lanvern,24,0.0,12.0,17.0,92.0,92.0,92.0,8.0,26,0,19888.0,2598.0,502.0,0,47,0,0,0,0,455,0
153,29176,Plonévez-Porzay,7,0.0,100.0,100.0,100.0,100.0,100.0,0.0,11,0,244449.0,606.0,2269.0,0,0,251,0,0,1767,0,0
154,29177,Plouarzel,42,0.0,12.0,52.0,90.0,93.0,93.0,7.0,47,1,287982.0,4213.0,2893.0,0,99,0,0,0,1699,355,740
155,29178,Ploudalmézeau,69,0.0,29.0,48.0,88.0,93.0,96.0,4.0,72,3,365636.0,7451.0,220.0,0,0,0,0,0,110,0,0
156,29179,Ploudaniel,8,0.0,0.0,12.0,62.0,75.0,88.0,12.0,0,0,24856.0,0.0,5618.0,0,1076,0,3436,0,0,1106,0
157,29181,Plouédern,28,0.0,18.0,46.0,89.0,93.0,93.0,7.0,25,0,59976.0,2890.0,9088.0,0,313,3458,0,2239,0,3061,17
