,SIREN_EPCI,NOM_EPCI,ANNEE,Nb_Permis,Part_Permis_annules,Part_Demandeurs_MEME_EPCI,Part_Demandeurs_MEME_DEP,Part_Demandeurs_BRETAGNE,Part_Demandeurs_Ouest,Part_Demandeurs_LOINTAINS,Nouveaux_Logements,Resid_secondaire,Surface_terrains,Surface_Logements,Surface_Locaux,Surface_hotels,Surface_bureaux,Surface_commerces,Surface_artisanat,Surface_industrie,Surface_bat_agricoles,Surface_entrepots,Surface_services_publics
112,200067247,CC Pleyben-Châteaulin-Porzay,2020,4,0.0,75.0,100.0,100.0,100.0,0.0,3,0,2175.0,246.0,14.0,0,0,14,0,0,0,0,0
113,200067247,CC Pleyben-Châteaulin-Porzay,2021,3,0.0,67.0,100.0,100.0,100.0,0.0,3,0,1973.0,311.0,0.0,0,0,0,0,0,0,0,0
114,200067247,CC Pleyben-Châteaulin-Porzay,2022,10,0.0,60.0,80.0,80.0,80.0,20.0,9,4,65323.0,894.0,280.0,0,0,0,0,0,280,0,0
115,200067247,CC Pleyben-Châteaulin-Porzay,2023,2,0.0,0.0,100.0,100.0,100.0,0.0,2,0,712.0,189.0,0.0,0,0,0,0,0,0,0,0
116,200067247,CC Pleyben-Châteaulin-Porzay,2024,2,0.0,50.0,50.0,50.0,50.0,50.0,2,0,1480.0,145.0,0.0,0,0,0,0,0,0,0,0
117,200067346,CA Pornic Agglo Pays de Retz,2020,53,0.0,42.0,83.0,79.0,89.0,11.0,48,10,142619.0,5292.0,6707.0,0,15,0,0,0,5113,1579,0
118,200067346,CA Pornic Agglo Pays de Retz,2021,45,0.0,42.0,87.0,76.0,93.0,7.0,100,6,140189.0,8735.0,3543.0,0,2660,90,786,0,0,0,7
119,200067346,CA Pornic Agglo Pays de Retz,2022,62,0.0,42.0,81.0,69.0,90.0,10.0,128,6,164856.0,16073.0,12551.0,3044,0,0,2071,0,6834,484,59
120,200067346,CA Pornic Agglo Pays de Retz,2023,38,0.0,39.0,89.0,66.0,95.0,5.0,151,2,147475.0,9194.0,3542.0,0,0,0,3470,0,0,0,72
121,200067346,CA Pornic Agglo Pays de Retz,2024,22,0.0,41.0,86.0,73.0,100.0,0.0,17,3,51200.0,2117.0,5917.0,0,5068,0,301,0,240,300,8
122,200067346,CA Pornic Agglo Pays de Retz,2013,50,0.0,14.0,86.0,88.0,94.0,6.0,58,8,26192.0,6095.0,0.0,0,0,0,0,0,0,0,0
123,200067346,CA Pornic Agglo Pays de Retz,2014,49,0.0,39.0,82.0,78.0,88.0,12.0,57,6,63542.0,6308.0,3924.0,0,237,278,480,0,2680,249,0
124,200067346,CA Pornic Agglo Pays de Retz,2015,109,0.0,46.0,83.0,85.0,94.0,6.0,109,5,54033.0,11037.0,2421.0,0,249,1745,0,0,24,403,0
125,200067346,CA Pornic Agglo Pays de Retz,2016,134,0.0,39.0,75.0,80.0,90.0,10.0,217,9,85423.0,18519.0,8.0,0,0,0,0,0,0,0,8
126,200067346,CA Pornic Agglo Pays de Retz,2017,220,0.0,38.0,85.0,86.0,93.0,7.0,252,10,115054.0,24005.0,8690.0,0,0,0,262,0,7297,1123,8
127,200067346,CA Pornic Agglo Pays de Retz,2018,176,0.0,39.0,86.0,85.0,94.0,6.0,175,9,94437.0,18246.0,907.0,0,83,0,47,0,768,0,9
128,200067346,CA Pornic Agglo Pays de Retz,2019,102,0.0,35.0,85.0,81.0,97.0,3.0,141,4,185052.0,13363.0,3982.0,0,303,196,0,342,0,536,2605
129,200067346,CA Pornic Agglo Pays de Retz,2020,32,0.0,47.0,88.0,78.0,97.0,3.0,40,0,72275.0,3639.0,3057.0,0,103,0,1178,415,0,1258,0
130,200067346,CA Pornic Agglo Pays de Retz,2021,50,0.0,38.0,82.0,82.0,90.0,10.0,154,5,58755.0,12171.0,50.0,0,42,0,0,0,0,0,8
131,200067346,CA Pornic Agglo Pays de Retz,2022,28,0.0,36.0,68.0,71.0,96.0,4.0,41,1,31999.0,3897.0,0.0,0,0,0,0,0,0,0,0
132,200067346,CA Pornic Agglo Pays de Retz,2023,6,0.0,67.0,100.0,100.0,100.0,0.0,6,0,2979.0,692.0,0.0,0,0,0,0,0,0,0,0
133,200067346,CA Pornic Agglo Pays de Retz,2024,5,0.0,40.0,60.0,100.0,100.0,0.0,7,0,3705.0,810.0,0.0,0,0,0,0,0,0,0,0
134,200067932,CA Golfe du Morbihan - Vannes Agglomération,2020,55,0.0,40.0,84.0,89.0,91.0,9.0,53,6,990792.0,7354.0,3352.0,0,0,0,0,0,799,0,2553
135,200067932,CA Golfe du Morbihan - Vannes Agglomération,2021,73,0.0,47.0,77.0,92.0,95.0,5.0,262,5,1854265.0,21606.0,16816.0,1467,2130,390,1276,0,10983,246,308
136,200067932,CA Golfe du Morbihan - Vannes Agglomération,2022,102,0.0,42.0,76.0,92.0,93.0,7.0,199,11,1589947.0,18479.0,14005.0,38,3761,977,943,0,4701,2932,653
137,200067932,CA Golfe du Morbihan - Vannes Agglomération,2023,84,0.0,51.0,79.0,87.0,89.0,11.0,137,3,995481.0,13078.0,12298.0,594,1786,0,965,2387,2746,1485,2335
138,200067932,CA Golfe du Morbihan - Vannes Agglomération,2024,44,0.0,45.0,75.0,84.0,89.0,11.0,45,2,741457.0,4827.0,10340.0,0,619,2401,1430,764,2783,1234,1109
139,200067932,CA Golfe du Morbihan - Vannes Agglomération,2013,80,0.0,46.0,81.0,89.0,91.0,9.0,105,7,116031.0,11997.0,9745.0,90,796,155,2385,0,1587,923,3809
140,200067932,CA Golfe du Morbihan - Vannes Agglomération,2014,79,0.0,39.0,71.0,81.0,84.0,16.0,144,10,62314.0,13901.0,15317.0,0,12841,0,1212,0,1020,244,0
141,200067932,CA Golfe du Morbihan - Vannes Agglomération,2015,114,0.0,57.0,82.0,89.0,89.0,11.0,158,4,95343.0,20473.0,8896.0,0,2294,0,970,239,768,3465,660
142,200067932,CA Golfe du Morbihan - Vannes Agglomération,2016,151,0.0,44.0,79.0,89.0,91.0,9.0,244,13,173939.0,24367.0,4669.0,0,601,14,458,102,1919,1094,481
143,200067932,CA Golfe du Morbihan - Vannes Agglomération,2017,279,0.0,44.0,80.0,90.0,92.0,8.0,389,21,290932.0,40226.0,24670.0,0,7392,6242,5369,0,1710,3022,935
144,200067932,CA Golfe du Morbihan - Vannes Agglomération,2018,259,0.0,46.0,80.0,90.0,92.0,8.0,558,16,305153.0,52877.0,22137.0,0,4828,1108,2392,1194,2405,4144,2656
145,200067932,CA Golfe du Morbihan - Vannes Agglomération,2019,243,0.0,44.0,75.0,83.0,86.0,14.0,288,21,1373950.0,31826.0,10704.0,0,2467,547,1485,0,0,5350,515
146,200067932,CA Golfe du Morbihan - Vannes Agglomération,2020,296,0.0,37.0,74.0,88.0,92.0,8.0,771,24,2672502.0,72013.0,18003.0,0,7058,607,1608,0,0,7422,815
