,INSEE_COM,NOM_COMMUNE,SIREN_EPCI,TacheUrb2014,Nb_Permis,Part_Permis_annules,Part_Demandeurs_MEME_COMMUN,Part_Demandeurs_MEME_EPCI,Part_Demandeurs_MEME_DEP,Part_Demandeurs_BRETAGNE,Part_Demandeurs_Ouest,Part_Demandeurs_LOINTAINS,Nouveaux_Logements,Resid_secondaire,Surface_terrains,Surface_Logements,Surface_Locaux,Surface_hotels,Surface_bureaux,Surface_commerces,Surface_artisanat,Surface_industrie,Surface_bat_agricoles,Surface_entrepots,Surface_services_publics
65,22187,Plérin,200069409,intérieur,412,2.0,56.0,83.0,92.0,96.0,96.0,4.0,934,6,642491.0,95176.0,25439.0,0,9588,3841,3021,47,827,988,5842
66,22190,Pleslin-Trigavou,200068989,extérieur,79,4.0,14.0,24.0,43.0,96.0,97.0,3.0,71,0,210691.0,8032.0,6352.0,0,1530,0,0,3178,1387,257,0
67,22190,Pleslin-Trigavou,200068989,intérieur,84,4.0,13.0,24.0,56.0,98.0,99.0,1.0,79,1,101801.0,8883.0,3795.0,0,0,523,588,1647,65,972,0
68,22194,Plestin-les-Grèves,200065928,extérieur,86,0.0,36.0,58.0,70.0,86.0,86.0,14.0,88,2,304757.0,8363.0,4388.0,0,0,1929,565,0,1894,0,0
69,22194,Plestin-les-Grèves,200065928,intérieur,61,3.0,43.0,49.0,66.0,82.0,84.0,16.0,66,3,55584.0,7289.0,3068.0,0,0,2011,99,0,0,0,958
70,22195,Pleubian,200065928,extérieur,71,6.0,38.0,45.0,73.0,79.0,85.0,15.0,80,13,120896.0,8444.0,3149.0,0,0,0,427,0,1114,255,926
71,22195,Pleubian,200065928,intérieur,132,5.0,39.0,53.0,71.0,77.0,83.0,17.0,129,28,310773.0,13874.0,18596.0,0,0,146,0,322,17880,0,248
72,22196,Pleudaniel,200065928,extérieur,27,7.0,44.0,67.0,89.0,89.0,93.0,7.0,3,0,221382.0,404.0,25000.0,0,1909,2119,2744,0,15268,2533,427
73,22196,Pleudaniel,200065928,intérieur,13,0.0,54.0,85.0,92.0,92.0,92.0,8.0,12,1,94380.0,1113.0,4647.0,0,0,0,0,0,4495,0,152
74,22197,Pleudihen-sur-Rance,200068989,extérieur,78,3.0,9.0,42.0,49.0,95.0,97.0,3.0,92,3,277654.0,11998.0,20870.0,0,1449,921,2509,550,4688,10488,265
75,22197,Pleudihen-sur-Rance,200068989,intérieur,34,6.0,24.0,68.0,71.0,100.0,100.0,0.0,29,1,99121.0,3710.0,2794.0,0,180,66,1126,504,338,580,0
76,22198,Pleumeur-Bodou,200065928,extérieur,49,0.0,35.0,71.0,78.0,86.0,86.0,14.0,51,2,342196.0,5379.0,6663.0,0,0,55,0,0,6041,288,239
77,22198,Pleumeur-Bodou,200065928,intérieur,154,6.0,26.0,57.0,71.0,80.0,80.0,20.0,190,21,273882.0,21457.0,3890.0,148,56,273,137,0,1551,516,1192
